Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,2020-03-05,229.4143467317,223.5285236349,234.2592546315,223.5260538292
ETH,2020-03-06,240.4900817249,228.9365790491,241.8133380628,227.9712265786
ETH,2020-03-07,240.5548523654,240.5176726164,252.5990377317,236.612071398
ETH,2020-03-08,204.4108196421,240.5743930247,240.652294944,203.5604328281
ETH,2020-03-09,198.977350888,204.4095970244,209.7067017951,189.8228920363
ETH,2020-03-10,203.1258771789,203.1224284151,206.4171339898,195.9137127231
ETH,2020-03-11,194.4277839901,203.127774761,203.1525263169,181.7249688415
ETH,2020-03-12,127.2928961752,194.4190713723,195.6348960324,125.3989109703
ETH,2020-03-13,134.821028807,127.2961436395,142.7696370577,89.1220356489
ETH,2020-03-14,124.9746147264,134.8209002257,138.6602972826,123.5202340222
ETH,2020-03-15,123.7851092569,124.9783658884,140.1188474624,120.3637020825
ETH,2020-03-16,107.8983447851,123.7056713865,125.3449192428,101.1181961754
ETH,2020-03-17,118.3424035726,107.9063584543,120.9954964615,107.5406348059
ETH,2020-03-18,116.6065978423,118.3389189259,119.0685754114,110.7148691528
ETH,2020-03-19,140.8145457143,116.5963986521,143.5123451585,115.9858314049
ETH,2020-03-20,131.7531579935,140.8218464886,153.1439813657,116.6076330798
ETH,2020-03-21,133.0816861128,131.7649583177,137.8092859496,126.0691947833
ETH,2020-03-22,123.2739471992,133.05697586,137.6053555232,122.3096235458
ETH,2020-03-23,133.5701413598,122.4791515059,137.8896111553,119.7426464081
ETH,2020-03-24,140.1136998719,133.5755785677,144.3268148247,133.0782176463
ETH,2020-03-25,136.2496619479,140.1092093649,142.7179379418,133.2704226496
ETH,2020-03-26,136.6194963443,136.3739675533,139.0568575645,133.702440094
ETH,2020-03-27,137.3184524143,136.6185794206,141.802713768,134.9075113154
ETH,2020-03-28,131.2719316892,137.3174606221,137.3480397441,125.3914770663
ETH,2020-03-29,125.7283385468,131.2752902627,132.1039718049,124.0249906833
ETH,2020-03-30,133.7604753284,124.4850282274,135.4305767649,124.1211867561
ETH,2020-03-31,133.8929305752,133.7498003951,135.2848049753,130.6133358769
ETH,2020-04-01,133.652561146,133.9133316211,134.9038179143,128.9923832621
ETH,2020-04-02,142.5059265378,133.6531151819,149.9255285839,133.5361133453
ETH,2020-04-03,141.9206657029,141.4470882982,146.9356897945,137.183130891
ETH,2020-04-04,144.1399041259,141.9150412189,146.5603123356,139.0690012503
ETH,2020-04-05,143.4993181165,144.4429550043,145.935556796,140.8570066108
ETH,2020-04-06,165.9462413993,143.5003602665,167.6462617058,142.761690799
ETH,2020-04-07,166.4521496289,165.9313096504,176.4758147451,162.493916018
ETH,2020-04-08,172.8180918913,166.4529167677,174.5494637085,163.243218735
ETH,2020-04-09,170.898713977,172.8060053028,173.7712735332,165.6592749018
ETH,2020-04-10,158.3075978475,170.8986142448,171.0957701428,152.6164801913
ETH,2020-04-11,158.0101429539,158.1338529173,161.5064601245,154.169460904
ETH,2020-04-12,162.02302301,158.007009454,165.4789779607,155.3892854918
ETH,2020-04-13,158.3185448242,162.0230236994,162.6436820411,150.2139599726
ETH,2020-04-14,159.7720237128,158.1904743542,162.2260862684,155.7097621637
ETH,2020-04-15,155.7292612634,159.769634395,161.4999131629,155.4397948079
ETH,2020-04-16,174.0709971712,153.0130095367,174.5424392213,148.6120061603
ETH,2020-04-17,170.4157420989,174.0950674544,174.9407824853,168.4524385031
ETH,2020-04-18,188.1478721138,170.414499105,189.7083242888,170.414499105
ETH,2020-04-19,182.8541797091,188.022837057,189.6751419615,176.5802220005
ETH,2020-04-20,171.3567484442,182.8504561457,186.6824071534,167.0758817879
ETH,2020-04-21,173.0543256318,171.3555134803,174.8467838051,168.6138451654
ETH,2020-04-22,182.209943997,173.0531734723,184.2367889991,170.1791847887
ETH,2020-04-23,189.0411510002,182.2104001292,193.4271813748,178.3381224275
ETH,2020-04-24,186.7921766308,187.8383870206,189.9548662096,184.9609260102
ETH,2020-04-25,193.6154221891,186.7922836107,198.1591867942,186.0531398714
ETH,2020-04-26,195.0902574962,193.6142324268,199.9994174867,192.6599518934
ETH,2020-04-27,197.0252359564,195.0914234001,199.2723365395,190.244903661
ETH,2020-04-28,197.310224911,196.8082325841,198.0333933092,192.6974719385
ETH,2020-04-29,215.2002836303,197.3100657691,219.3370900228,196.7336124476
ETH,2020-04-30,210.6202341702,215.1289574035,227.4632500987,202.2787787926
ETH,2020-05-01,212.3596701949,210.6227819507,217.5523222656,205.4940718338
ETH,2020-05-02,214.7327163811,212.3608688402,215.8868401065,210.79816406
ETH,2020-05-03,210.186762411,214.468866682,219.8058106908,205.7052979905
ETH,2020-05-04,207.6209439135,210.1831644341,210.7856383804,195.3044076546
ETH,2020-05-05,205.092216255,207.6194601556,211.873669248,201.4883896842
ETH,2020-05-06,206.1612678004,205.5914139138,211.0983499235,202.2826851778
ETH,2020-05-07,212.970768396,206.1614410139,215.2475411747,197.2693053261
ETH,2020-05-08,213.6120027829,212.9740680423,216.724547681,207.348637873
ETH,2020-05-09,211.372735156,213.620015018,215.3336101458,209.1647938328
ETH,2020-05-10,188.6446608457,211.3656223364,212.1112049883,180.8481710937
ETH,2020-05-11,186.0147754649,187.7541425977,193.7202067419,176.4929059586
ETH,2020-05-12,189.8181868394,186.0055493026,192.3451120775,183.9696720261
ETH,2020-05-13,199.471247703,190.0451615281,201.2871007591,188.7042576596
ETH,2020-05-14,203.7694208006,199.4691312881,206.1465775264,196.0343206898
ETH,2020-05-15,196.1392798869,203.2278953484,204.078240382,191.7253123368
ETH,2020-05-16,201.4660091385,196.1356100257,203.2352094494,193.2292918609
ETH,2020-05-17,207.4047794108,201.4678380536,209.741940357,199.714298253
ETH,2020-05-18,214.5257267984,206.958977429,216.7254540057,206.9555381664
ETH,2020-05-19,213.6812562322,214.5154874947,216.0656567187,209.3485393396
ETH,2020-05-20,209.8536710415,213.6803599448,215.4787237115,206.0796064365
ETH,2020-05-21,200.2877989063,209.8502129526,211.5762202129,191.5550319995
ETH,2020-05-22,208.0416960737,200.2859745086,209.1385279314,196.2872486548
ETH,2020-05-23,207.6257022565,208.0324657325,211.2689489963,204.8650978582
ETH,2020-05-24,206.452974771,207.6066018029,210.5720353803,201.822772114
ETH,2020-05-25,204.038221714,206.4468955111,206.4837506405,198.104269964
ETH,2020-05-26,201.2088663208,204.0379521386,205.0093602657,197.0367907963
ETH,2020-05-27,206.1006556031,201.2088663206,207.9944507042,200.5210605992
ETH,2020-05-28,216.5178744013,206.0985450101,216.7993318037,202.1671566902
ETH,2020-05-29,220.5019166374,216.5247350842,224.6402210043,216.2318115129
ETH,2020-05-30,243.6303481192,220.8556352514,246.8044660661,218.8650761494
ETH,2020-05-31,231.2504175786,243.6270585284,245.2636687554,229.7878560698
ETH,2020-06-01,250.0599160501,231.2100601725,250.7284854657,230.6284228458
ETH,2020-06-02,237.3090652858,250.0726041158,253.147878327,226.29373382
ETH,2020-06-03,244.5193627884,237.3095508894,245.0051614421,233.6978643143
ETH,2020-06-04,243.4132803896,244.5416669637,246.5683121705,236.4287199802
ETH,2020-06-05,240.7663785849,243.420504845,248.0077120602,239.3617532687
ETH,2020-06-06,242.3213962566,240.7523323749,244.67170298,238.0540542749
ETH,2020-06-07,243.825655085,242.3213939748,245.2421558585,235.0061350069
ETH,2020-06-08,247.0407955737,243.8256907979,247.2317980298,241.0991912782
ETH,2020-06-09,244.5428506736,247.0468660299,249.7179110174,239.427573638
ETH,2020-06-10,247.4454296066,244.5875966792,250.0458471899,242.4295597171
ETH,2020-06-11,230.5056339076,247.4446279621,250.0579672684,226.1818994218
ETH,2020-06-12,237.2197469187,230.5220549828,239.474035864,228.2728449325
ETH,2020-06-13,238.2201400896,237.2259908291,238.7501715182,234.635040874
ETH,2020-06-14,232.6132804986,238.2201400918,238.5668448215,229.9142633219
ETH,2020-06-15,231.2550027053,232.6115651761,233.4718071922,218.2724276744
ETH,2020-06-16,234.7509210246,231.2543429366,236.0721563915,228.898786026
ETH,2020-06-17,234.0310260214,234.754450543,237.1685502278,227.6893279499
ETH,2020-06-18,231.8059383408,234.0394744702,234.4131058609,227.7414772358
ETH,2020-06-19,228.8903067734,231.8061482086,231.9706212969,226.5965290489
ETH,2020-06-20,228.7451598817,228.8772879947,230.6571439769,225.8520172551
ETH,2020-06-21,227.6154756679,228.7389242343,231.2319378901,227.047957336
ETH,2020-06-22,243.2281939759,227.6089252779,246.7635912652,227.3859651164
ETH,2020-06-23,242.9270899437,243.2114216762,245.0346187976,241.06684677
ETH,2020-06-24,235.1756535949,242.927089944,249.1445582409,231.0995675089
ETH,2020-06-25,232.5691463771,235.1886592592,235.3297723825,227.4208050094
ETH,2020-06-26,229.9450697712,232.5696026564,233.3176591565,227.7160537178
ETH,2020-06-27,221.4079023706,229.9394928887,231.2253372644,216.2631715344
ETH,2020-06-28,224.1848295462,221.4086713152,227.804099542,218.1223887287
ETH,2020-06-29,228.3333420231,224.1895353556,229.8553495685,221.2218593266
ETH,2020-06-30,225.9467950844,228.3333292181,228.6460042421,222.9864633795
ETH,2020-07-01,230.7048874981,225.6863921064,232.743117606,224.3149086425
ETH,2020-07-02,226.7229790237,231.1948375875,232.1479266582,223.1761590164
ETH,2020-07-03,226.3593386336,226.6998415409,228.2929203932,225.6915410007
ETH,2020-07-04,228.8071990379,225.1198565553,230.5455781737,224.6385923645
ETH,2020-07-05,227.0958437535,229.309123778,229.9518913392,223.464013225
ETH,2020-07-06,238.9297010239,227.7624211284,240.9430667198,227.1229375302
ETH,2020-07-07,238.4339891225,241.6816950102,243.6876558661,234.9989090195
ETH,2020-07-08,248.281879338,239.5282277474,249.1250615449,238.0663647129
ETH,2020-07-09,241.7872199263,247.2208495129,247.739365168,238.068827205
ETH,2020-07-10,240.1467526502,242.080879565,242.2688319967,235.9863512158
ETH,2020-07-11,238.9943354723,241.3130855443,241.7917444563,237.9151047193
ETH,2020-07-12,240.22366586,239.4193572732,244.077026534,236.8386734901
ETH,2020-07-13,239.3273161658,243.0083433906,245.3246083409,237.5843573271
ETH,2020-07-14,240.8414253109,239.5313593297,242.145283665,237.0269581922
ETH,2020-07-15,238.4254490792,240.5938874718,241.4743466639,236.7810484981
ETH,2020-07-16,233.0853182123,238.4149784216,239.2174144608,230.2432230435
ETH,2020-07-17,232.8975949922,233.5424064252,234.5992820468,231.7124909118
ETH,2020-07-18,235.7401242173,232.7958737371,237.057444937,232.4669595519
ETH,2020-07-19,237.7425541334,236.0131451355,238.1493903712,233.5973430999
ETH,2020-07-20,236.0678442243,239.1809758274,239.8136688271,234.3968831918
ETH,2020-07-21,245.2152674702,236.1469913183,247.0502209127,235.7492582577
ETH,2020-07-22,264.0682844678,245.8905627471,269.0305095585,242.1903047688
ETH,2020-07-23,275.8085217294,264.2264986103,280.6860003188,262.2727265921
ETH,2020-07-24,282.0835888641,275.7213120686,287.6346626468,268.6070504573
ETH,2020-07-25,305.6981196217,279.712563016,307.6532120965,279.6943664679
ETH,2020-07-26,312.1649089443,305.7557998871,318.8569499655,300.5163329315
ETH,2020-07-27,329.6317211075,311.2393860098,333.5037645767,311.2257033378
ETH,2020-07-28,317.1500090147,322.2859019811,327.1706726034,306.229000824
ETH,2020-07-29,322.5821788488,317.3983328562,325.4884542828,312.9461628183
ETH,2020-07-30,336.2069898243,318.3178662892,342.2068666315,314.8993058941
ETH,2020-07-31,346.0277183338,335.2509921303,349.826223511,329.2374484843
ETH,2020-08-01,385.3971442278,346.8799144534,393.4227808108,343.7725390932
ETH,2020-08-02,376.7304077565,387.6319772246,415.7137670232,329.7443178353
ETH,2020-08-03,389.0088526187,372.3310989279,398.1827004586,367.387042744
ETH,2020-08-04,391.4719188271,386.3841649531,401.1792016614,381.6972367843
ETH,2020-08-05,398.7823155558,389.7739841582,407.3695248685,384.5096976436
ETH,2020-08-06,395.0946703368,401.1942824965,403.8119093162,392.8564488164
ETH,2020-08-07,382.7311751829,395.3629341207,398.7223770995,364.6081633244
ETH,2020-08-08,390.808826242,379.8457064085,393.4506925812,376.5714583997
ETH,2020-08-09,388.3353162731,397.2580927816,400.2300285176,384.4175907289
ETH,2020-08-10,395.3996937457,390.504577658,399.8476916933,386.07178865
ETH,2020-08-11,375.7376315945,395.9138296672,398.1078858485,367.4094423468
ETH,2020-08-12,385.6144268142,379.2203395385,389.6743609879,366.396122481
ETH,2020-08-13,426.5197717722,387.3415773534,431.5745452131,377.3046128062
ETH,2020-08-14,439.4651311644,424.881045254,444.6363674875,418.1696471136
ETH,2020-08-15,432.5808730567,438.9316946123,443.1990258271,428.5819232373
ETH,2020-08-16,432.9948222845,432.6224965686,437.2198304115,413.3227680751
ETH,2020-08-17,439.1354267206,433.820497493,446.4511175885,420.8027613118
ETH,2020-08-18,426.6580775702,431.3676954553,434.2467909,415.1707999102
ETH,2020-08-19,406.7773731283,422.400274926,427.0039349853,394.2827799572
ETH,2020-08-20,414.892313138,407.9056876456,419.5986160193,403.0389145344
ETH,2020-08-21,392.9193709266,416.327704322,419.0840095168,386.304653236
ETH,2020-08-22,393.7887017486,388.2547095119,395.3278973507,380.3753115549
ETH,2020-08-23,392.2001782169,395.7003591,397.2778679559,384.0666779103
ETH,2020-08-24,406.0046385673,391.0885828063,408.8267150008,388.0029419871
ETH,2020-08-25,383.7475333924,408.0597611801,409.2408014043,370.4092629318
ETH,2020-08-26,386.442205636,383.4401407168,393.423672538,378.0925844811
ETH,2020-08-27,381.5294806967,385.9954626054,397.3093057151,372.434146578
ETH,2020-08-28,391.9147663738,383.6367344765,398.0637661476,380.2925820805
ETH,2020-08-29,402.90311604,395.6468275833,406.0306685852,392.6472847163
ETH,2020-08-30,423.0770923093,399.0898440034,428.0834931275,398.8473637463
ETH,2020-08-31,435.2801714861,429.0059962,439.3442035102,419.2185815085
ETH,2020-09-01,480.5552222401,434.1475041025,488.8938492235,429.8748398733
ETH,2020-09-02,441.8792972944,475.41436486,481.3955001103,421.8353335877
ETH,2020-09-03,399.5571540928,440.3346759471,451.0626435787,392.6973368629
ETH,2020-09-04,391.8715284748,382.5405618575,401.1209305854,372.7130798487
ETH,2020-09-05,329.0848011726,386.0594302961,394.8616499131,312.1050554298
ETH,2020-09-06,349.4605531884,335.4103155017,359.4572170257,317.236665121
ETH,2020-09-07,354.3037632168,353.0927521017,357.5864908827,325.1598125177
ETH,2020-09-08,334.025416843,353.7657005608,356.7595736251,326.0584828202
ETH,2020-09-09,354.513329323,337.6975033565,359.3516322396,331.0640466839
ETH,2020-09-10,367.1263141396,351.208679324,377.2493001336,350.5790158873
ETH,2020-09-11,374.2875958676,368.2165020788,375.4540415519,356.1667704541
ETH,2020-09-12,383.9274938089,374.1000639654,387.1178059664,365.5623093333
ETH,2020-09-13,364.5362187519,388.0735382863,390.2242988663,354.0953334658
ETH,2020-09-14,373.5045266209,366.5649239094,384.7086626017,357.9141113629
ETH,2020-09-15,365.8433246496,377.4456461938,382.0639934031,362.7307765434
ETH,2020-09-16,367.4346465463,364.3129883513,373.7356222295,355.5369465471
ETH,2020-09-17,389.3184007746,365.5061959268,394.2224299943,363.8658284739
ETH,2020-09-18,382.9262672477,389.5977603471,392.6615703695,376.0762711272
ETH,2020-09-19,384.2505679659,384.6413320908,388.5075903656,377.5894374125
ETH,2020-09-20,367.3231536518,385.3986061648,385.5320542512,365.4523377946
ETH,2020-09-21,347.5680272914,371.1952363429,376.366820723,331.8381434834
ETH,2020-09-22,345.1418278286,340.45670978,346.8119138796,336.0199241659
ETH,2020-09-23,322.3349074502,344.3569918652,344.9397137778,320.3396714874
ETH,2020-09-24,348.9888398557,320.5545124651,350.7891132073,316.9143020253
ETH,2020-09-25,354.7818318623,348.9933377017,357.9465076284,338.369065255
ETH,2020-09-26,354.0452726273,352.0351311687,356.1357380921,346.3049388179
ETH,2020-09-27,354.9380677088,354.1211199622,362.1249606025,347.3860775081
ETH,2020-09-28,361.7481129229,357.5575086745,368.0385349614,355.1668873842
ETH,2020-09-29,357.3310057778,353.8336713792,359.5173126641,350.5193815288
ETH,2020-09-30,358.7399606682,359.8496345618,360.0293783598,351.6408428663
ETH,2020-10-01,352.0332681871,359.8348106589,369.7003047679,345.8640897696
ETH,2020-10-02,345.3998475591,353.172226906,354.5845005115,334.6079929849
ETH,2020-10-03,347.1718312811,345.8401300586,351.3453579637,344.0512501826
ETH,2020-10-04,351.6400320431,346.4838160306,354.4595269385,344.5204437807
ETH,2020-10-05,352.6185940994,352.4946648969,355.9014498106,348.9764401241
ETH,2020-10-06,340.3481830382,353.67262527,355.0497407236,337.3175474395
ETH,2020-10-07,339.378314508,340.7065978779,342.841434006,333.3949184329
ETH,2020-10-08,350.9546298469,341.6884014535,353.4101596327,334.5350818426
ETH,2020-10-09,364.3294014957,351.1428032145,366.4276936238,347.8786230018
ETH,2020-10-10,374.6844228802,365.353470781,378.3953624489,365.0738754122
ETH,2020-10-11,372.7678333626,370.533240317,377.2714889649,369.3970745206
ETH,2020-10-12,393.1071990064,374.2830969979,395.1461645663,366.0302479883
ETH,2020-10-13,381.6256168546,386.6361778913,387.5646789469,375.4684449683
ETH,2020-10-14,376.469523739,381.4181658591,387.6164691015,373.78576448
ETH,2020-10-15,378.2395134365,379.2418371556,381.6665176824,370.4875966436
ETH,2020-10-16,367.1522802856,377.9188744498,379.8437954375,361.8544787209
ETH,2020-10-17,368.2368438997,365.8071694125,370.5878406401,363.8392701602
ETH,2020-10-18,376.5122024722,368.5987227075,377.044117339,367.5809454347
ETH,2020-10-19,379.6604736902,378.5203218879,384.3827696498,373.1047003725
ETH,2020-10-20,368.8607245558,379.3842502619,380.2004581402,365.7933894396
ETH,2020-10-21,398.0277214424,368.7926553011,399.2807237679,368.1165780078
ETH,2020-10-22,417.6331816271,390.9355571625,421.0802338286,390.8096160555
ETH,2020-10-23,408.2428390432,414.3409245152,419.4431613648,401.7775637098
ETH,2020-10-24,411.2159945412,409.3147393841,416.7616331988,407.2548755499
ETH,2020-10-25,405.3954328773,412.2438858016,417.2895027911,403.5020605831
ETH,2020-10-26,391.4164092636,406.1713381468,411.2792300824,382.9156954125
ETH,2020-10-27,404.4218331907,393.1437710621,410.2374750332,390.3860087712
ETH,2020-10-28,388.156443591,403.7494182145,408.8584847878,380.8121696544
ETH,2020-10-29,386.0911828108,388.5708362302,394.2767962589,381.3309515284
ETH,2020-10-30,383.6848623179,387.3930168237,391.9973778183,373.9042010729
ETH,2020-10-31,388.4387980726,382.9710577129,394.0118598584,380.8602152182
ETH,2020-11-01,395.9961821947,387.0036018944,397.9808039258,385.3427554139
ETH,2020-11-02,384.8347474569,396.8552431641,404.3271399821,380.2793028479
ETH,2020-11-03,386.4908987246,383.4622242763,388.7982212404,370.8209401278
ETH,2020-11-04,403.2778485673,387.6912119415,408.4852586842,377.236029578
ETH,2020-11-05,416.5114824325,402.8688891767,418.364352665,396.8378898723
ETH,2020-11-06,453.0308238119,417.1117896508,455.7459967296,415.347261476
ETH,2020-11-07,435.8613367687,456.5943490653,467.129720405,424.1021300243
ETH,2020-11-08,454.5517448714,435.2051014325,460.3215720785,432.1963621829
ETH,2020-11-09,443.6204255251,454.5219418457,458.9971288896,434.9151482693
ETH,2020-11-10,453.3189964868,444.3862703221,454.8977538303,439.505494624
ETH,2020-11-11,466.5282281386,450.9313581428,475.3506559267,449.9929482499
ETH,2020-11-12,462.6719472046,463.6832775071,470.0881946814,452.7697620723
ETH,2020-11-13,477.3388766,462.7853206814,478.0446460812,457.9437253674
ETH,2020-11-14,460.4664980993,476.6831147867,477.6426408326,452.4289586943
ETH,2020-11-15,445.8941417724,461.0909844624,463.0037636025,440.6335141071
ETH,2020-11-16,461.0623567875,448.5349296131,466.1083053386,446.063984327
ETH,2020-11-17,480.9909845258,460.7228217885,484.3645520778,460.1346412407
ETH,2020-11-18,478.4043731714,482.4939844009,494.9439357123,463.9273540938
ETH,2020-11-19,473.5739180278,478.6527985815,480.709334196,465.1636691455
ETH,2020-11-20,507.6303417383,471.7860558439,514.221751688,471.1101469385
ETH,2020-11-21,539.5625939862,510.2747411104,546.4642794644,502.9805167363
ETH,2020-11-22,578.4629743172,551.6192567479,580.6223011122,519.7505671751
ETH,2020-11-23,609.1437148653,559.5830076096,609.1437148653,549.8127614688
ETH,2020-11-24,601.5316453167,608.7463569336,621.5286333284,588.8837378354
ETH,2020-11-25,567.7759673023,604.705926739,605.7029785422,566.3867227123
ETH,2020-11-26,520.8333184304,569.4581751107,577.0378195075,483.007027258
ETH,2020-11-27,515.534223743,520.7730274267,531.4154752097,494.5006644438
ETH,2020-11-28,546.0136418149,519.2584466466,548.8953750687,507.7297432975
ETH,2020-11-29,567.6815131103,538.2604872219,569.3976100583,531.3142823642
ETH,2020-11-30,605.7631371389,576.5860413787,614.6266532435,571.3081036633
ETH,2020-12-01,593.659257549,616.1313958111,636.5392368577,565.0378650624
ETH,2020-12-02,598.263646643,586.3340636199,605.0412027634,576.2984934419
ETH,2020-12-03,615.4088784506,597.4416899612,623.6678375908,586.677004915
ETH,2020-12-04,575.59260015,616.4559518853,620.4348431109,575.5909776623
ETH,2020-12-05,592.4092013487,567.7926882709,597.8354718141,561.3171163022
ETH,2020-12-06,592.6159236652,597.2541013093,607.6525187089,585.7414675486
ETH,2020-12-07,589.6630189512,602.0731383673,603.417174447,584.7879655561
ETH,2020-12-08,563.4373127342,591.5291823221,595.1076415852,562.0377530105
ETH,2020-12-09,574.9030707023,554.7605900944,577.872293187,530.2426458197
ETH,2020-12-10,564.3938574746,573.5967900987,575.7329880784,547.9653401783
ETH,2020-12-11,550.3806474355,559.0802880986,560.6747558898,536.0356741643
ETH,2020-12-12,573.008347948,544.4423824451,574.1048248312,543.3781014138
ETH,2020-12-13,586.321236258,568.4810073729,594.6632217917,564.0155657962
ETH,2020-12-14,587.3035383071,590.4910667964,591.1771645667,575.829119238
ETH,2020-12-15,588.2978961456,586.0840297305,596.7421049057,579.4358216546
ETH,2020-12-16,632.2912858311,588.9026170173,635.3961853634,581.2134698951
ETH,2020-12-17,645.0753045133,637.6940034928,676.2031787443,626.6179551309
ETH,2020-12-18,652.1960225924,643.2014316444,664.2314679206,629.8110263089
ETH,2020-12-19,663.5523430029,654.3642072,669.7860292563,646.367457958
ETH,2020-12-20,635.5837928886,658.211908949,660.7536081422,621.0507683078
ETH,2020-12-21,617.2544032218,638.3338196217,647.9475759746,596.4543684155
ETH,2020-12-22,623.443202693,607.9840448325,634.2480702092,588.1447681466
ETH,2020-12-23,584.5174190516,636.1356521635,637.5411589316,552.0400762167
ETH,2020-12-24,612.5741966765,585.3712486661,613.1704137925,565.7184738674
ETH,2020-12-25,621.6166902622,612.3523821016,633.6035991333,604.6746441664
ETH,2020-12-26,633.9198224178,626.9066385093,651.7661420113,615.5113241018
ETH,2020-12-27,681.2794850106,636.1804971152,714.1125443276,624.7611410159
ETH,2020-12-28,726.1045863344,683.2768616258,746.8759137752,680.2064722333
ETH,2020-12-29,724.5759621528,729.3536883733,739.2383279943,689.1946052616
ETH,2020-12-30,746.0625172683,731.078525788,757.8177542677,717.6850966895
ETH,2020-12-31,741.1184042851,752.3224744953,755.3124653926,724.4313993297
ETH,2021-01-01,730.0351684102,736.7099217033,749.0597988487,721.9209813522
ETH,2021-01-02,771.4757566597,729.7325671355,784.5060312161,716.2258855237
ETH,2021-01-03,976.8926808393,771.7942283706,989.551795499,765.723863603
ETH,2021-01-04,1017.8623988981,971.6427188823,1151.0693893,890.4738063562
ETH,2021-01-05,1123.1628410718,1041.4960000123,1126.8707718668,980.2780636348
ETH,2021-01-06,1193.5715202415,1101.9035692061,1210.541549465,1059.1474753692
ETH,2021-01-07,1251.0492101183,1209.686756372,1287.692633766,1160.9034027609
ETH,2021-01-08,1208.5799785678,1223.8425646029,1273.60307923,1069.0835565634
ETH,2021-01-09,1287.4841438663,1215.225473042,1302.2222880109,1171.7174976493
ETH,2021-01-10,1281.9976614145,1275.4515448761,1344.6138305963,1161.8346835687
ETH,2021-01-11,1055.8909250422,1253.2708043946,1257.7032600614,912.3281017097
ETH,2021-01-12,1064.2012838901,1087.6746225362,1149.7556812757,1007.5698275053
ETH,2021-01-13,1116.4340868185,1050.8308074089,1136.8125418526,989.8557858136
ETH,2021-01-14,1177.3442448293,1129.6916767608,1245.1143856046,1087.8991567728
ETH,2021-01-15,1171.3958830887,1230.9664858131,1254.4915101784,1071.7724200572
ETH,2021-01-16,1227.0870408156,1168.9245438283,1292.5577521532,1153.1230095731
ETH,2021-01-17,1252.9981581457,1228.3771635037,1268.6658907132,1167.1058927446
ETH,2021-01-18,1238.6455042902,1233.2153850116,1255.736007179,1189.3554541822
ETH,2021-01-19,1411.8339394749,1258.8308727002,1439.3277249001,1252.6486805552
ETH,2021-01-20,1332.6425126838,1367.6633550492,1407.4379307123,1236.7450253429
ETH,2021-01-21,1117.4836784751,1377.5028825258,1388.918842536,1086.0370263545
ETH,2021-01-22,1250.7151664476,1111.2649463623,1275.9558118998,1044.2166271905
ETH,2021-01-23,1235.091639789,1234.5621175427,1274.1911589651,1198.3501194273
ETH,2021-01-24,1368.8956047745,1234.3390013843,1370.1538190218,1221.6730103371
ETH,2021-01-25,1324.8584871299,1393.7109740444,1461.6492677047,1295.5899665958
ETH,2021-01-26,1350.7369555572,1318.39283584,1378.6156149156,1249.4702271129
ETH,2021-01-27,1247.6565556826,1367.5546270094,1373.9531012597,1209.3260137241
ETH,2021-01-28,1354.96039384,1241.7860374951,1361.0169749852,1220.7835674778
ETH,2021-01-29,1407.6817902673,1331.2338482195,1439.7233465199,1288.1300932031
ETH,2021-01-30,1385.498675211,1380.0117732689,1406.6202566072,1329.2030581509
ETH,2021-01-31,1315.243744537,1379.3260347962,1381.6806609607,1283.9226938994
ETH,2021-02-01,1357.0479899865,1314.4190185241,1364.2774907694,1271.9882885825
ETH,2021-02-02,1540.6512876256,1374.4827977797,1549.0337027754,1361.9352112887
ETH,2021-02-03,1644.6859673423,1513.8096086686,1650.3884716015,1510.6196752147
ETH,2021-02-04,1628.4680083886,1665.8928048334,1697.1071828523,1558.5836890519
ETH,2021-02-05,1704.8323001183,1596.9919341709,1761.3547795399,1592.8548347821
ETH,2021-02-06,1708.7282991033,1720.1098276851,1743.5919210664,1647.8198010308
ETH,2021-02-07,1584.68192312,1678.5881497557,1694.6962757031,1493.6428829531
ETH,2021-02-08,1714.8760437,1614.2452653941,1776.470982585,1566.1814939035
ETH,2021-02-09,1762.2683020123,1752.2560887496,1824.58681442,1710.0775187641
ETH,2021-02-10,1747.1977271685,1772.1119761449,1839.3936492133,1693.0255858427
ETH,2021-02-11,1781.5847291302,1743.124852908,1816.9260592408,1706.1661803532
ETH,2021-02-12,1845.8201487353,1787.2889192843,1862.1326646879,1741.4001583529
ETH,2021-02-13,1811.2688742943,1844.3205129455,1872.5229306021,1767.9687728067
ETH,2021-02-14,1828.0926556783,1817.9708255067,1851.5335830585,1787.8350569117
ETH,2021-02-15,1787.1229409878,1803.0805254581,1835.8135476457,1664.8394755679
ETH,2021-02-16,1763.7516712651,1779.9199791489,1827.0446000358,1727.548555444
ETH,2021-02-17,1835.9914626743,1783.3536180109,1856.1865263106,1736.902292684
ETH,2021-02-18,1936.7152857294,1850.4700031321,1950.6923854875,1850.3722706313
ETH,2021-02-19,1958.7391904297,1940.3453753546,1973.5434860951,1893.209005501
ETH,2021-02-20,1855.2648413078,1956.1093530953,2036.5546878264,1812.1297581179
ETH,2021-02-21,1913.8002838917,1915.1484047963,1976.0016374911,1885.5584368965
ETH,2021-02-22,1782.1495911944,1934.5909578061,1937.027622115,1546.5312073478
ETH,2021-02-23,1546.6229610737,1778.3928145485,1781.7648769693,1361.5913116192
